名称,所在地,カテゴリ
東海中学校,東京都品川区東品川3-30-15,中学校
大崎中学校,東京都品川区西品川3-10-6,中学校
浜川中学校,東京都品川区東大井3-18-34,中学校
鈴ケ森中学校,東京都品川区南大井2-3-14,中学校
冨士見台中学校,東京都品川区西大井5-5-14,中学校
荏原第一中学校,東京都品川区荏原1-24-30,中学校
荏原第五中学校,東京都品川区旗の台5-11-13,中学校
荏原第六中学校,東京都品川区小山5-20-19,中学校
戸越台中学校,東京都品川区戸越1-15-23,中学校
城南小学校,東京都品川区南品川2-8-21,小学校
浅間台小学校,東京都品川区南品川6-8-8,小学校
三木小学校,東京都品川区西品川3-16-28,小学校
御殿山小学校,東京都品川区北品川5-2-6,小学校
城南第二小学校,東京都品川区東品川3-4-5,小学校
第一日野小学校,東京都品川区西五反田6-5-32,小学校
芳水小学校,東京都品川区大崎3-12-22,小学校
第三日野小学校,東京都品川区上大崎1-19-19,小学校
第四日野小学校,東京都品川区西五反田4-29-9,小学校
大井第一小学校,東京都品川区大井6-1-32,小学校
鮫浜小学校,東京都品川区東大井2-10-14,小学校
山中小学校,東京都品川区大井3-7-19,小学校
立会小学校,東京都品川区東大井4-15-9,小学校
浜川小学校,東京都品川区南大井4-3-27,小学校
伊藤小学校,東京都品川区西大井5-6-8,小学校
鈴ケ森小学校,東京都品川区南大井4-16-2,小学校
台場小学校,東京都品川区東品川1-8-30,小学校
京陽小学校,東京都品川区平塚2-19-20,小学校
延山小学校,東京都品川区西中延2-17-5,小学校
中延小学校,東京都品川区中延1-11-15,小学校
小山小学校,東京都品川区小山5-10-6,小学校
大原小学校,東京都品川区戸越6-17-3,小学校
宮前小学校,東京都品川区戸越4-5-10,小学校
源氏前小学校,東京都品川区中延6-2-18,小学校
第二延山小学校,東京都品川区旗の台1-6-1,小学校
後地小学校,東京都品川区小山2-4-6,小学校
戸越小学校,東京都品川区豊町2-1-20,小学校
旗台小学校,東京都品川区旗の台4-7-11,小学校
上神明小学校,東京都品川区二葉4-4-10,小学校
清水台小学校,東京都品川区旗の台1-11-17,小学校
小山台小学校,東京都品川区小山台1-18-24,小学校
日野学園,東京都品川区東五反田2-11-1,義務教育学校
伊藤学園,東京都品川区大井5-1-37,義務教育学校
八潮学園,東京都品川区八潮5-11-2,義務教育学校
荏原平塚学園,東京都品川区平塚3-16-26,義務教育学校
品川学園,東京都品川区北品川3-9-30,義務教育学校
豊葉の杜学園,東京都品川区二葉1-3-40,義務教育学校
水道局品川営業所,東京都品川区西中延1-9-10,官公署・公共機関
下水道局南部下水道事務所 品川出張所,東京都品川区西品川1-8-1,官公署・公共機関
エコルとごし(環境学習交流施設),東京都品川区豊町2-1-30 戸越公園内,区民生活関連施設
品川区役所第二庁舎・防災センター,東京都品川区広町2-1-36,総合庁舎・地域センター・区民集会所
品川区役所本庁舎,東京都品川区広町2-1-36,総合庁舎・地域センター・区民集会所
品川区議会棟,東京都品川区広町２－１－３６,総合庁舎・地域センター・区民集会所
品川区役所第三庁舎,東京都品川区広町２－１－３６,総合庁舎・地域センター・区民集会所
品川健康センター,東京都品川区北品川3-11-22,医療機関・保健センター等
荏原健康センター,東京都品川区西五反田6-6-20,医療機関・保健センター等
しながわ水族館,東京都品川区勝島3-2-1(しながわ区民公園内),文化・スポーツ施設・公園
しながわ区民公園パークセンター,東京都品川区勝島3-2-2,文化・スポーツ施設・公園
都立大井ふ頭中央海浜公園 (スポーツの森),東京都品川区八潮4-1-19,文化・スポーツ施設・公園
都立大井ふ頭中央海浜公園 (なぎさの森),東京都品川区八潮4-2-1,文化・スポーツ施設・公園
都立林試の森公園,東京都品川区小山台2-6-11,文化・スポーツ施設・公園
都立潮風公園,"東京都品川区東八潮1,2",文化・スポーツ施設・公園
大井ふ頭中央海浜公園,東京都品川区八潮4-1-19,文化・スポーツ施設・公園
しながわ区民公園デイキャンプ場,東京都品川区勝島3-2-2,文化・スポーツ施設・公園
戸越公園,東京都品川区豊町2-1-30,文化・スポーツ施設・公園
池田山公園,東京都品川区東五反田5-4-35,文化・スポーツ施設・公園
五反田公園,東京都品川区東五反田5-25-27,文化・スポーツ施設・公園
子供の森公園,東京都品川区北品川3-10-13,文化・スポーツ施設・公園
東品川海上公園,東京都品川区東品川2-6-22,文化・スポーツ施設・公園
権現山公園,東京都品川区北品川3-9-5,文化・スポーツ施設・公園
