設立,名称,所在地,電話,緯度,経度
区立,城南,南品川2-8-21,03-3471-7584,35.613153 ,139.742914 
区立,平塚,荏原4-5-22,03-3781-8913,35.615070 ,139.707675 
区立,浜川,南大井4-3-14,03-3761-6395,35.597638 ,139.736177 
区立,御殿山,北品川5-3-1,03-5795-1523,35.622495 ,139.731753 
区立,伊藤,西大井5-22-8,03-3775-8028,35.598088 ,139.716943 
区立,第一日野,西五反田6-5-6,03-3493-7264,35.622359 ,139.716741 
区立,台場,東品川1-8-30,03-3472-8378,35.620869 ,139.743667 
区立,二葉,二葉1-3-40,03-3785-9560,35.607037 ,139.725560 
区立,八潮わかば,八潮5-6-32,03-3799-1542,35.596297 ,139.749755 
私立,あけぼの,大井5-10-12,03-3776-5093,35.598344 ,139.730038 
私立,アライアンス,小山4-4-13,03-3786-0379,35.618352 ,139.703939 
私立,荏原学園旭,中延5-6-18,03-3781-4915,35.602977 ,139.708684 
私立,エトワール,南品川5-12-4,03-3474-7321,35.608815 ,139.741023 
私立,大井うさぎ,大井7-1-5,03-3776-6549,35.597321 ,139.725223 
私立,大崎,大崎3-11-1,03-3491-5731,35.619356 ,139.723618 
私立,品川翔英,西大井1-6-13,03-3774-1151,35.602243 ,139.726098 
私立,亀田,中延6-1-3,03-3783-7211,35.603899 ,139.710397 
私立,品川教会附属,北品川4-7-40,03-3443-1725,35.622526 ,139.737538 
私立,鈴ヶ森めばえ,南大井2-4-1,03-3761-8086,35.593102 ,139.736781 
私立,専修,西五反田6-11-5,03-3492-2300,35.621096 ,139.717545 
私立,洗足うさぎ,荏原7-18-15,03-3781-6215,35.609917 ,139.698749 
私立,戸越,戸越1-21-15,03-3785-4968,35.615289 ,139.721260 
私立,帝京にしき,旗の台6-5-30,03-3781-8522,35.608604 ,139.700191 
私立,日本音楽学校,豊町2-16-12,03-3786-1711,35.610111 ,39.725085 
私立,ひまわり,小山6-10-11,03-3781-4227,35.613638 ,139.697971 
私立,文教大学付属,旗の台3-2-17,03-3781-2798,35.605835 ,139.706860 
私立,八潮,東品川3-24-8,03-3471-2450,35.612360 ,139.745769 
